Meatloaf with apricots - Carrefour - Carrefour Belgium;6.6;0;0;810;0;15;5
Ham. Superior with rind - Herta - Nestlé Belgilux S.A.;0.5;0;0;740;0;20;0.5
Smokes bacon. organic - Carrefour BIO - Carrefour Belgium;1;0;0;1200;0;16;1
Tartiné chicken - Aoste Tartiné - Imperial Meat Product;2.2;0;0;734;0;13;0.9
Roast turkey breast in slices - Delhaize - Delhaize groupe;1;0;0;800;0;22;0.1
Chicken fillet natural 125g - Carrefour - Carrefour Belgium;2;0;0;1000;0;18;0.2
Salami 90g - Aoste Authentique - Imperial Meat Products;0.1;0;0;1469;0;23;0.1
Steak tartare. beef. prepared. fine herbs - Delhaize - Delhaize groupe;2.6;0;0;600;0;15.4;0.3
Meatloaf. chicken 150g - Cornby - Dacor;4.5;0;0;850;0;14.7;2.6
Salami with garlic - Delhaize - Delhaize groupe;0.3;0;0;1130;0;18.6;0.2
Iberian charcuterie platter - Carrefour - Carrefour Belgium;1.1;0;0;2040;0;32;0
logs. stuffed - Carrefour - Carrefour Belgium;6;0;0;560;0;15;2
Spread. chicken salad Mediterranean - Delhaize - Delhaize groupe;2.3;0;0;700;0;12.8;1.4
Ham. herbs edelham - Herta - Nestlé Belgilux S.A.;0.4;0;0;800;0;22;0.4
Ham. herbs edelham - Herta - Nestlé Belgilux S.A.;0.4;0;0;800;0;22;0.4
Ham. herbs edelham - Herta - Nestlé Belgilux S.A.;0.4;0;0;800;0;22;0.4
Ham. herbs edelham - Herta - Nestlé Belgilux S.A.;0.4;0;0;800;0;22;0.4
Smoked chicken with honey - Herta - Nestlé Belgilux S.A.;0.7;0;0;720;0;21;0.7
Minced meat. calf. unseasoned. raw;0.6;343;227;77;0;18.1;0
Poultry Bread. herbs - Delhaize - Delhaize groupe;4.7;0;0;1000;0;15.1;0.7
Cordon bleu. poultry. cheese;9.2;253;185;704;0;17;0.5
Pate pheasant with cranberries - Carrefour - Carrefour Belgium;7.6;0;0;800;0;12;7.6
Worst lunch patron - Cornby - Dacor;3.1;0;0;787;0;12;1.1
Turkey breast fillet - Cornby - Dacor;0.9;0;0;811;0;20.7;0.9
Chicken breast nature 150g - Saint Alby - Lidl Belgium GmbH;1;0;0;900;0;20;1
Chicken breast with thyme - Herta - Nestlé Belgilux S.A.;0.6;0;0;760;0;21;0.6
Chicken breast with thyme - Herta - Nestlé Belgilux S.A.;0.6;0;0;760;0;21;0.6
Chicken breast with thyme - Herta - Nestlé Belgilux S.A.;0.6;0;0;760;0;21;0.6
Chicken breast with thyme - Herta - Nestlé Belgilux S.A.;0.6;0;0;760;0;21;0.6
Head cheese in tomato sauce in slices - Delhaize - Delhaize groupe;4;0;0;400;0;11;3
Head cheese in tomato sauce in slices - Delhaize - Delhaize groupe;4;0;0;400;0;11;3
Nuggets. chicken western - Iglo - Iglo Belgium SA/NV;24;0;0;610;0;14.2;1.9
Sausage. chorizo ??extra soft 250g - Delhaize - Delhaize groupe;2.5;0;0;470;0;34.8;0.6
Salad. crispy bacon - Vitakrone - Lidl Belgium GmbH;5.4;0;0;830;0;15.4;4.8
Turkey cubes smoked - Delhaize - Delhaize groupe;1.6;0;0;800;0;19;1.6
Turkey cubes smoked - Delhaize - Delhaize groupe;1.6;0;0;800;0;19;1.6
Pate. cream. pigs and pig liver - Delhaize - 365 - Delhaize groupe;5;0;0;700;0;10;1.6
Pate. cream. pigs and pig liver - Delhaize - 365 - Delhaize groupe;5;0;0;700;0;10;1.6
Pate. cream. pigs and pig liver - Delhaize - 365 - Delhaize groupe;5;0;0;700;0;10;1.6
Filet d'Anvers 80g - Delhaize - Delhaize groupe;0.9;0;0;1820;0;20.8;0.7
Fillet de York sliced - Delhaize - 365 - Delhaize groupe;0.5;0;0;1500;0;22.5;0.5
Fillet de York sliced - Delhaize - 365 - Delhaize groupe;0.5;0;0;1500;0;22.5;0.5
Sausages. dry sausages mini - Carrefour Discount - Carrefour Belgium;4.1;0;0;1920;0;27;3.2
Sausages. dry sausages mini - Carrefour Discount - Carrefour Belgium;4.1;0;0;1920;0;27;3.2
Ham. ham off the bone - Aubel - Detry S.A.;0.1;0;20;550;0;22;0.1
Ham. farmer's ham cooked sliced - Delhaize - Delhaize groupe;0.6;0;0;710;0;21.8;0.6
Pâté. farm house 210gr - 2.75kg - Imperial - Imperial Meat Products;1;0;0;708;0;15;1
Salami extra without garlic - Imperial - Imperial Meat Products;0.2;0;0;1370;0;19.3;0.2
Pâté with gingerbread and onion confit - Carrefour - Carrefour Belgium;4.9;0;0;675;0;15;2.1
Pâté with gingerbread and onion confit - Carrefour - Carrefour Belgium;4.9;0;0;675;0;15;2.1
Chicken fillet with broccoli in slices - Delhaize - Delhaize groupe;1.1;0;0;770;0;15.2;1.1
Saxony fillet. lean;0.3;436;363;1442;0;25;0.3
Spinata romana. 125g - Carrefour - Carrefour Belgium;0.1;0;0;1600;0;27;0.1
Salami. garlic-free 150g - Carrefour - Carrefour Belgium;0.3;0;0;1100;0;18.6;0.2
Parsley sausage. 125g - Carrefour - Carrefour Belgium;6;0;0;800;0;11.5;3
Parsley sausage. 125g - Carrefour - Carrefour Belgium;6;0;0;800;0;11.5;3
Salami Hungarian - Imperial - Imperial Meat Products;0.2;0;0;1370;0;19.3;0.2
Diced chicken fillet 100% - Herta - Nestlé Belgilux S.A.;2;0;0;800;0;17;2
Ham. raw. nut ham;0.5;430;355;1471;0;24.3;0.5
Turkey ham thin slices - Delhaize - Delhaize groupe;1.5;0;0;980;0;17.4;0.9
Salami. hungarian - Carrefour - Carrefour Belgium;1.5;0;0;1360;0;18.3;0.5
Sausage. dry sausage 365 - Delhaize - 365 - Delhaize groupe;2.2;0;0;2500;0;26.3;0.4
Sausage. Bifi hot - Bifi - Unilever Belgium N.V.;2;0;0;1600;0;24;2
Sausage. Bifi midget garden herbs - Bifi - Unilever Belgium N.V.;1.5;0;0;1000;0;20;1.5
sausage. Bifi original - Bifi - Unilever Belgium N.V.;0.9;0;0;1700;0;25;0.9
Sausage. Bifi roll - Bifi - Unilever Belgium N.V.;27;0;0;930;0;15;3.5
Chicken fillet. Wellness - Aubel - Detry S.A.;0.5;0;0;600;0;21;0.5
Salami with garlic sliced n°24 - Delhaize - Delhaize groupe;0.2;0;0;1370;0;19.3;0.2
Salami with pepper n°22 - Delhaize - Delhaize groupe;0.3;0;0;1410;0;21.7;0.1
Balls. oriental - Delhaize - Delhaize groupe;11.3;0;0;960;0;13.6;2
Beef burger lean - Carrefour - Carrefour Belgium;0.5;0;0;85;0;22;0.2
Hamburger frozen - Delhaize - Delhaize groupe;0;0;0;0;0;19.1;0
Hamburger onion parsley - Kwaliteitsketen Carrefour - Carrefour Belgium;4.3;0;0;617;0;14.8;1.1
Ham. boiled ham slices bio - Delhaize - BIO - Delhaize groupe;2;0;0;720;0;20;2
Knuckle of ham mustard sauce - Delhaize - Delhaize groupe;0.5;0;0;510;0;24.5;0.5
